9916,15141,17212,31282,32379,33283,33151,32945,8204
30102,31183,32382,32909,33174,33447,33499,33521,8196
33525,33513,33504,33499,33504,33494,33497,33490,8212
33481,33471,33465,33459,33434,33445,33554,33598,8198
33492,33446,33427,33413,33398,33370,33375,33371,8198
33394,33397,33426,33373,33268,33192,33024,32891,8212
31201,31680,32921,33175,33359,33289,33317,33350,8276
33409,33402,33389,33385,33382,33379,33359,33358,8208
33402,33402,33387,33419,33398,33367,33372,33369,8192
33337,33320,33344,33366,33363,33351,33304,33255,8208
33304,33262,33145,33028,32936,32713,32400,32082,8516
31313,30653,30618,30634,30890,30841,30746,30607,8530
30473,30595,30644,30647,30583,30488,30449,30548,8528
30500,30415,30299,30345,30450,30466,30473,30482,8469
30477,30469,30485,30495,30465,30463,30474,30473,8465
30465,30458,30473,30480,30465,30451,30442,30432,8448
30441,30424,30420,30411,30415,30423,30427,30418,8241
30427,30433,30437,30425,30398,30365,30356,30357,8224
30430,30468,30529,30466,30258,30276,30353,30283,8192
30315,30330,30348,30335,30349,30364,30377,30395,8224
30534,30726,30747,30743,30736,30434,30124,30197,8264
30359,30391,30386,30360,30340,30373,30385,30394,8194
30373,30343,30344,30346,30345,30329,30301,30294,11209
30333,30350,30363,30381,30463,30549,30561,30750,8192
30871,30962,31041,31114,30995,31025,31184,31425,8192
32261,32423,32448,32653,32715,32710,32723,32721,8256
32717,32662,32668,32653,32635,32652,32629,32615,8256
32611,32614,32607,32613,32616,32609,32609,32606,8256
32605,32601,32576,32581,32603,32626,32638,32583,66
32608,32712,32760,32795,32795,32804,32759,32748,67
32734,32730,32740,32756,32743,32710,32716,32716,8250
32717,32716,32721,32724,32731,32722,32715,32718,8192
32731,32731,32741,32754,32753,32743,32721,32724,8248
32775,32770,32811,32825,32819,32819,32824,32815,8232
32813,32810,32811,32805,32804,32827,32827,32827,8260
32827,32828,32820,32812,32791,32767,32728,32712,8192
32719,32722,32715,32723,32723,32725,32723,32724,8201
32738,32731,32732,32739,32738,32738,32737,32737,8196
32739,32736,32741,32741,32743,32749,32797,32810,8265
32848,32842,32834,32849,32841,32850,32857,32851,8256
32835,32831,32831,32836,32834,32832,32826,32824,8288
32832,32833,32836,32833,32826,32845,32865,32831,8269
32828,32825,32854,32846,32852,32848,32855,32855,8290
32881,32889,32865,32874,32867,32884,32902,32902,8192
32880,32877,32884,32885,32896,32891,32880,32880,8208
32880,32887,32884,32883,32884,32887,32887,32891,8211
32893,32898,32903,32907,32906,32906,32908,32907,8320
32907,32911,32910,32912,32917,32918,32914,32917,8321
32912,32901,32889,32903,32939,32919,32921,32929,8320
32919,32889,32896,32928,32919,32936,32922,32904,8336
32936,32976,32983,32980,32990,32999,33001,33004,8329
33008,33013,33021,33018,33020,33015,33014,33028,8274
33042,33039,33044,33049,33049,33054,33052,33064,8322
33074,33076,33073,33056,33039,33078,33089,33083,8400
32856,32673,32274,31941,31954,32181,32380,32701,8354
33196,33315,33403,33424,33446,33415,33371,33355,11444
33382,33393,33406,33419,33419,33422,33429,33433,8196
33450,33454,33463,33471,33482,33489,33487,33477,8210
33490,33493,33501,33503,33502,33508,33513,33521,8200
33538,33554,33558,33561,33568,33577,33583,33590,8192
33617,33632,33641,33645,33651,33659,33664,33672,8295
33674,33682,33690,33699,33711,33723,33731,33748,8324
33764,33765,33774,33779,33789,33809,33814,33822,8192
33846,33858,33865,33871,33874,33888,33903,33908,8249
33918,33928,33932,33945,33950,33959,33977,33992,8272
34005,34008,34009,34011,34014,34017,34019,34029,8464
34043,34053,34065,34080,34088,34089,34105,34113,8448
34141,34152,34157,34167,34178,34188,34201,34219,8512
34248,34249,34254,34274,34290,34298,34308,34320,8192
34334,34335,34340,34351,34367,34370,34375,34386,8454
34420,34437,34449,34459,34470,34475,34487,34495,8530
34521,34534,34543,34546,34552,34550,34564,34581,8210
34611,34623,34638,34648,34673,34697,34718,34728,8276
34752,34761,34767,34774,34785,34797,34802,34811,8256
34808,34825,34833,34852,34878,34930,34943,34959,8214
34973,34992,35012,35014,35026,35041,35055,35073,8198
35106,35115,35116,35123,35115,35137,35172,35187,8212
35231,35241,35258,35268,35275,35299,35315,35326,8194
35361,35378,35384,35402,35414,35421,35440,35455,8290
35477,35492,35513,35522,35539,35559,35576,35573,8705
35591,35624,35635,35636,35657,35683,35701,35714,8722
35742,35758,35774,35790,35807,35819,35834,35850,8704
35886,35895,35907,35920,35935,35953,35981,35999,8708
36033,36054,36061,36080,36108,36110,36123,36156,9016
