715,827,1296,1475,209,1188,344,787,539
821,613,1346,1346,91,1372,318,1153,609
104,174,296,1301,947,807,942,514,903
992,1090,996,1204,58,1209,1092,945,1369
1336,926,1413,839,217,851,1254,500,212
178,1178,1464,637,1046,1130,43,477,78
665,856,175,204,781,29,315,974,611
431,1220,281,987,821,723,712,659,900
1478,872,1124,1298,1216,387,577,168,1381
919,1417,88,423,1194,472,520,366,451
392,1309,121,1263,760,1451,110,1458,824
212,769,741,120,426,325,1146,1053,1176
824,1186,1277,578,193,788,613,994,501
1244,717,1496,413,1332,350,1016,499,156
1258,1246,22,242,1456,857,833,44,671
1253,494,821,952,1415,1497,91,862,58
318,1465,1294,485,963,211,472,69,1018
823,428,1365,1439,150,1433,1449,408,181
1314,123,1270,756,126,199,1398,298,311
195,1131,1320,1112,286,292,576,682,802
1287,1249,1123,34,62,975,932,1156,947
1351,1385,189,914,1092,205,850,947,570
339,501,771,871,229,136,1248,482,916
129,1209,266,1214,959,994,1437,449,1272
719,814,1249,988,1188,56,127,131,1057
1255,703,1393,1319,856,1478,1334,270,598
712,1234,267,1355,575,816,850,1086,864
629,1429,1327,241,1235,570,304,148,386
762,128,591,301,468,1065,344,1378,1095
201,1067,583,1190,489,1422,1063,653,525
211,364,418,105,1181,583,901,133,132
1308,607,1304,594,763,1044,886,865,464
910,413,1116,460,403,909,1453,1250,461
409,1251,680,1105,1103,1166,879,531,49
1299,1493,1069,170,257,894,163,1173,277
101,980,1417,1192,1383,574,262,1067,1293
695,1060,274,1177,345,1278,167,893,989
1087,1399,378,806,139,350,232,575,1287
518,1036,967,391,124,1198,1012,600,417
611,859,1216,120,1158,1495,965,651,1345
798,581,1282,944,1229,433,568,643,325
1343,957,606,52,1115,1070,257,340,1447
1171,554,187,107,1141,1002,593,753,630
118,620,134,207,1442,631,1203,74,356
429,563,550,684,708,755,609,854,1230
578,711,1246,1013,1184,1424,1136,88,550
1299,763,334,1286,643,1430,453,1310,760
639,1367,1190,755,1416,1103,965,1292,1125
371,322,987,87,17,586,1329,517,1250
903,518,54,481,1472,75,326,1461,601
727,868,1182,968,862,881,728,1433,159
1349,738,1385,1183,530,854,183,1483,409
1403,404,746,444,843,542,212,249,1191
1230,876,1254,754,460,1322,110,19,1406
1068,1319,210,1230,251,942,133,384,859
